City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
160,nagato,75,JP,1548453600,93,34.35,131.14,39.2,5.82
161,asyut,0,EG,1548450000,43,27.18,31.19,55.4,4.7
162,fort frances,1,CA,1548453300,53,48.61,-93.4,-9.94,6.93
163,saskylakh,24,RU,1548455638,48,71.97,114.09,-16.51,9.78
164,kahului,40,US,1548453360,67,20.89,-156.47,82.04,13.87
165,sioux lookout,5,CA,1548453600,56,50.1,-91.92,-14.81,5.82
166,kapaa,90,US,1548453360,84,22.08,-159.32,71.96,24.16
167,prieska,0,ZA,1548455639,36,-29.67,22.74,62.74,8.32
168,sinnamary,20,GF,1548455639,94,5.38,-52.96,79.25,9.78
169,bocanda,20,CI,1548455639,72,7.06,-4.5,75.74,1.95
170,biak,20,ID,1548455640,83,-0.91,122.88,84.29,3.18
171,yumen,20,CN,1548455640,50,40.29,97.04,-6.7,3.96
172,dwarka,20,IN,1548453600,87,28.58,77.04,50.0,4.7
173,skibbereen,75,IE,1548453600,93,51.55,-9.27,44.6,6.93
174,trelew,0,AR,1548455640,17,-43.25,-65.31,71.78,18.28
175,sitka,0,US,1548455641,49,37.17,-99.65,39.34,7.54
176,bud,0,NO,1548453000,54,62.91,6.91,33.8,10.29
177,cururupu,68,BR,1548455641,88,-1.82,-44.87,78.49,6.2
178,port elizabeth,1,US,1548453360,39,39.31,-74.98,37.94,12.75
179,oktyabrskoye,40,RU,1548453600,76,56.73,85.44,-5.81,15.66
180,sao borja,0,BR,1548455642,69,-28.66,-56.0,84.34,11.01
181,tuktoyaktuk,90,CA,1548453600,83,69.44,-133.03,-4.01,16.11
182,berlevag,75,NO,1548453000,85,70.86,29.09,19.4,10.29
183,inzer,32,RU,1548455643,70,54.22,57.56,-2.74,6.2
184,jiayuguan,0,CN,1548455643,50,39.77,98.29,-13.99,2.62
185,hithadhoo,8,MV,1548455643,100,-0.6,73.08,81.77,3.96
186,tura,8,IN,1548455643,81,25.52,90.21,52.25,3.4
187,kavieng,68,PG,1548455644,100,-2.57,150.8,84.07,8.99
188,nelson bay,0,AU,1548453600,62,-32.72,152.14,86.0,5.82
189,lagodekhi,75,GE,1548453600,64,41.83,46.28,39.2,11.41
190,liverpool,90,GB,1548454800,87,53.41,-2.98,48.2,10.29
191,kaniama,48,CD,1548455645,94,-7.57,24.18,69.62,2.28
