,city,temp_max,date,country,lat,lon,hum,cloud,wind
422,gohor,28.4,1548520200,RO,46.06,27.41,79.0,80.0,2.24
423,masuguru,77.82,1548522701,MZ,-11.38,38.46,95.0,48.0,2.91
424,namatanai,82.9,1548522702,PG,-3.66,152.44,100.0,64.0,11.97
425,san joaquin,72.82,1548522702,PH,10.59,122.14,76.0,24.0,18.34
426,brest,15.0,1548522615,BY,52.09,23.69,86.0,80.0,4.7
427,lavrentiya,13.65,1548522535,RU,65.58,-170.99,97.0,92.0,7.16
428,asau,,,,,,,,
429,nouadhibou,78.8,1548522000,MR,20.93,-17.03,19.0,64.0,4.7
430,hwange,84.3,1548522703,ZW,-18.35,26.5,41.0,8.0,7.94
431,sayyan,53.29,1548522703,YE,15.17,44.32,48.0,0.0,5.7
432,high level,6.8,1548518400,CA,58.52,-117.13,92.0,90.0,2.24
433,shenjiamen,44.47,1548522704,CN,29.96,122.3,100.0,32.0,12.41
434,batemans bay,71.65,1548522704,AU,-35.71,150.18,91.0,76.0,3.91
435,ilhabela,82.41,1548522704,BR,-23.78,-45.36,100.0,64.0,2.8
436,flinders,71.6,1548518400,AU,-34.58,150.85,100.0,64.0,8.05
437,kristinehamn,24.8,1548519600,SE,59.31,14.11,100.0,88.0,6.93
438,birjand,42.8,1548518400,IR,32.86,59.22,33.0,0.0,4.7
439,burkhala,,,,,,,,
440,dinsor,,,,,,,,
441,orcopampa,50.23,1548522706,PE,-15.27,-72.34,59.0,88.0,4.14
442,vestmannaeyjar,26.6,1548519180,IS,63.44,-20.27,73.0,0.0,17.22
443,kushima,37.5,1548522706,JP,31.5,131.29,100.0,0.0,10.96
444,am timan,87.27,1548522707,TD,11.04,20.28,37.0,12.0,3.8
445,leshukonskoye,-32.48,1548522707,RU,64.9,45.76,0.0,8.0,3.58
446,russell,86.0,1548522000,AR,-33.01,-68.8,48.0,20.0,8.05
447,sidney,24.98,1548520980,US,47.72,-104.16,73.0,90.0,6.93
448,saleaula,,,,,,,,
449,itaqui,92.13,1548522708,BR,-29.13,-56.55,80.0,48.0,4.25
450,senanga,77.68,1548522708,ZM,-16.1,23.3,71.0,44.0,2.46
451,isla mujeres,73.4,1548520860,MX,21.23,-86.73,100.0,90.0,3.36
452,cap malheureux,82.4,1548518400,MU,-19.98,57.61,78.0,75.0,9.17
453,ketchikan,46.94,1548517980,US,55.34,-131.65,92.0,90.0,24.16
454,maceio,86.0,1548518400,BR,-9.67,-35.74,58.0,40.0,14.99
455,zheleznodorozhnyy,14.0,1548520200,RU,55.75,38,92.0,90.0,11.18
456,altay,-9.67,1548522710,CN,47.83,88.13,56.0,0.0,2.35
457,show low,35.6,1548520500,US,34.25,-110.03,54.0,1.0,6.93
458,portland,39.2,1548521580,US,45.52,-122.67,92.0,90.0,3.36
459,pandamatenga,81.37,1548522710,BW,-18.54,25.64,42.0,8.0,8.16
460,broken hill,77.0,1548518400,AU,-31.97,141.45,27.0,56.0,18.34
461,boddam,44.6,1548521400,GB,57.47,-1.78,87.0,75.0,12.75
462,kwinana,73.4,1548520200,AU,-32.25,115.77,40.0,0.0,8.05
463,belmonte,47.22,1548522712,PT,40.36,-7.35,82.0,12.0,2.57
464,aketi,87.04,1548522712,CD,2.74,23.78,50.0,12.0,3.69
465,nikolskoye-na-cheremshane,,,,,,,,
466,lompoc,48.92,1548520500,US,34.64,-120.46,70.0,1.0,6.38
467,bentiu,,,,,,,,
468,kemijarvi,,,,,,,,
469,sandwick,42.8,1548517800,GB,54.57,-2.89,100.0,92.0,17.22
470,harper,54.14,1548521700,US,30.3,-99.24,79.0,40.0,4.36
471,tonstad,32.0,1548521400,NO,58.66,6.71,78.0,75.0,11.41
472,istisu,41.0,1548518400,AZ,40.95,48.07,86.0,90.0,5.82
473,mosquera,68.0,1548518400,CO,4.71,-74.23,45.0,40.0,9.17
474,hvammstangi,,,,,,,,
475,sola,32.0,1548521400,NO,58.89,5.65,100.0,75.0,11.41
